time_id,date,hour,day,day_of_week,month,year
2019022823,2019-02-28,23,28,Thursday,2,2019
2019022822,2019-02-28,22,28,Thursday,2,2019
2019022821,2019-02-28,21,28,Thursday,2,2019
2019022820,2019-02-28,20,28,Thursday,2,2019
2019022819,2019-02-28,19,28,Thursday,2,2019
2019022818,2019-02-28,18,28,Thursday,2,2019
2019022817,2019-02-28,17,28,Thursday,2,2019
2019022816,2019-02-28,16,28,Thursday,2,2019
2019022815,2019-02-28,15,28,Thursday,2,2019
2019022814,2019-02-28,14,28,Thursday,2,2019
2019022813,2019-02-28,13,28,Thursday,2,2019
2019022812,2019-02-28,12,28,Thursday,2,2019
2019022811,2019-02-28,11,28,Thursday,2,2019
2019022810,2019-02-28,10,28,Thursday,2,2019
2019022809,2019-02-28,9,28,Thursday,2,2019
2019022808,2019-02-28,8,28,Thursday,2,2019
2019022807,2019-02-28,7,28,Thursday,2,2019
2019022805,2019-02-28,5,28,Thursday,2,2019
2019022806,2019-02-28,6,28,Thursday,2,2019
2019022804,2019-02-28,4,28,Thursday,2,2019
2019022803,2019-02-28,3,28,Thursday,2,2019
2019022802,2019-02-28,2,28,Thursday,2,2019
2019022801,2019-02-28,1,28,Thursday,2,2019
2019022800,2019-02-28,0,28,Thursday,2,2019
2019022723,2019-02-27,23,27,Wednesday,2,2019
2019022722,2019-02-27,22,27,Wednesday,2,2019
2019022721,2019-02-27,21,27,Wednesday,2,2019
2019022720,2019-02-27,20,27,Wednesday,2,2019
2019022719,2019-02-27,19,27,Wednesday,2,2019
2019022718,2019-02-27,18,27,Wednesday,2,2019
2019022717,2019-02-27,17,27,Wednesday,2,2019
2019022716,2019-02-27,16,27,Wednesday,2,2019
2019022715,2019-02-27,15,27,Wednesday,2,2019
2019022714,2019-02-27,14,27,Wednesday,2,2019
2019022713,2019-02-27,13,27,Wednesday,2,2019
2019022712,2019-02-27,12,27,Wednesday,2,2019
2019022711,2019-02-27,11,27,Wednesday,2,2019
2019022710,2019-02-27,10,27,Wednesday,2,2019
2019022709,2019-02-27,9,27,Wednesday,2,2019
2019022708,2019-02-27,8,27,Wednesday,2,2019
2019022707,2019-02-27,7,27,Wednesday,2,2019
2019022706,2019-02-27,6,27,Wednesday,2,2019
2019022705,2019-02-27,5,27,Wednesday,2,2019
2019022704,2019-02-27,4,27,Wednesday,2,2019
2019022703,2019-02-27,3,27,Wednesday,2,2019
2019022702,2019-02-27,2,27,Wednesday,2,2019
2019022701,2019-02-27,1,27,Wednesday,2,2019
2019022700,2019-02-27,0,27,Wednesday,2,2019
2019022623,2019-02-26,23,26,Tuesday,2,2019
2019022622,2019-02-26,22,26,Tuesday,2,2019
2019022621,2019-02-26,21,26,Tuesday,2,2019
2019022620,2019-02-26,20,26,Tuesday,2,2019
2019022619,2019-02-26,19,26,Tuesday,2,2019
2019022618,2019-02-26,18,26,Tuesday,2,2019
2019022617,2019-02-26,17,26,Tuesday,2,2019
2019022616,2019-02-26,16,26,Tuesday,2,2019
2019022615,2019-02-26,15,26,Tuesday,2,2019
2019022614,2019-02-26,14,26,Tuesday,2,2019
2019022613,2019-02-26,13,26,Tuesday,2,2019
2019022612,2019-02-26,12,26,Tuesday,2,2019
2019022611,2019-02-26,11,26,Tuesday,2,2019
2019022610,2019-02-26,10,26,Tuesday,2,2019
2019022609,2019-02-26,9,26,Tuesday,2,2019
2019022608,2019-02-26,8,26,Tuesday,2,2019
2019022607,2019-02-26,7,26,Tuesday,2,2019
2019022606,2019-02-26,6,26,Tuesday,2,2019
2019022605,2019-02-26,5,26,Tuesday,2,2019
2019022604,2019-02-26,4,26,Tuesday,2,2019
2019022603,2019-02-26,3,26,Tuesday,2,2019
2019022602,2019-02-26,2,26,Tuesday,2,2019
2019022601,2019-02-26,1,26,Tuesday,2,2019
2019022600,2019-02-26,0,26,Tuesday,2,2019
2019022523,2019-02-25,23,25,Monday,2,2019
2019022522,2019-02-25,22,25,Monday,2,2019
2019022521,2019-02-25,21,25,Monday,2,2019
2019022520,2019-02-25,20,25,Monday,2,2019
2019022519,2019-02-25,19,25,Monday,2,2019
2019022518,2019-02-25,18,25,Monday,2,2019
2019022517,2019-02-25,17,25,Monday,2,2019
2019022516,2019-02-25,16,25,Monday,2,2019
2019022515,2019-02-25,15,25,Monday,2,2019
2019022514,2019-02-25,14,25,Monday,2,2019
2019022513,2019-02-25,13,25,Monday,2,2019
2019022512,2019-02-25,12,25,Monday,2,2019
2019022510,2019-02-25,10,25,Monday,2,2019
2019022511,2019-02-25,11,25,Monday,2,2019
2019022509,2019-02-25,9,25,Monday,2,2019
2019022508,2019-02-25,8,25,Monday,2,2019
2019022507,2019-02-25,7,25,Monday,2,2019
2019022506,2019-02-25,6,25,Monday,2,2019
2019022505,2019-02-25,5,25,Monday,2,2019
2019022504,2019-02-25,4,25,Monday,2,2019
2019022503,2019-02-25,3,25,Monday,2,2019
2019022502,2019-02-25,2,25,Monday,2,2019
2019022501,2019-02-25,1,25,Monday,2,2019
2019022500,2019-02-25,0,25,Monday,2,2019
2019022423,2019-02-24,23,24,Sunday,2,2019
2019022422,2019-02-24,22,24,Sunday,2,2019
2019022421,2019-02-24,21,24,Sunday,2,2019
2019022420,2019-02-24,20,24,Sunday,2,2019
2019022419,2019-02-24,19,24,Sunday,2,2019
2019022418,2019-02-24,18,24,Sunday,2,2019
2019022417,2019-02-24,17,24,Sunday,2,2019
2019022416,2019-02-24,16,24,Sunday,2,2019
2019022415,2019-02-24,15,24,Sunday,2,2019
2019022414,2019-02-24,14,24,Sunday,2,2019
2019022413,2019-02-24,13,24,Sunday,2,2019
2019022412,2019-02-24,12,24,Sunday,2,2019
2019022411,2019-02-24,11,24,Sunday,2,2019
2019022410,2019-02-24,10,24,Sunday,2,2019
2019022409,2019-02-24,9,24,Sunday,2,2019
2019022408,2019-02-24,8,24,Sunday,2,2019
2019022407,2019-02-24,7,24,Sunday,2,2019
2019022406,2019-02-24,6,24,Sunday,2,2019
2019022405,2019-02-24,5,24,Sunday,2,2019
2019022404,2019-02-24,4,24,Sunday,2,2019
2019022403,2019-02-24,3,24,Sunday,2,2019
