trip_id,start_time,end_time,duration_sec,bike_id,start_station_id,end_station_id,user_id,time_id
1,2019-02-28 23:54:18.549,2019-03-01 00:20:44.074,1585.525,4898,7,222,1,2019022823
2,2019-02-28 23:49:58.632,2019-03-01 00:19:51.760,1793.128,5200,93,323,2,2019022823
3,2019-02-28 23:55:35.104,2019-03-01 00:14:42.588,1147.484,3803,300,312,3,2019022823
4,2019-02-28 23:41:06.766,2019-03-01 00:08:02.756,1615.99,6329,10,127,4,2019022823
5,2019-02-28 23:41:48.790,2019-03-01 00:07:59.715,1570.925,6548,10,127,5,2019022823
6,2019-02-28 23:49:47.699,2019-03-01 00:07:17.025,1049.326,6488,19,121,6,2019022823
7,2019-02-28 23:57:57.211,2019-03-01 00:05:35.435,458.224,5318,370,43,7,2019022823
8,2019-02-28 23:56:55.540,2019-03-01 00:05:21.733,506.193,5848,44,343,8,2019022823
9,2019-02-28 23:45:12.651,2019-03-01 00:04:49.184,1176.533,5328,127,323,9,2019022823
10,2019-02-28 23:49:06.062,2019-03-01 00:04:21.867,915.805,5101,252,244,10,2019022823
11,2019-02-28 23:56:26.848,2019-03-01 00:03:01.947,395.099,4786,243,252,11,2019022823
12,2019-02-28 23:59:18.548,2019-03-01 00:02:47.228,208.68,6361,349,60,8,2019022823
13,2019-02-28 23:50:41.607,2019-02-28 23:59:49.953,548.346,6572,131,71,12,2019022823
14,2019-02-28 23:48:25.095,2019-02-28 23:59:40.092,674.997,5343,74,336,13,2019022823
15,2019-02-28 23:49:01.851,2019-02-28 23:58:19.809,557.958,5854,321,75,14,2019022823
16,2019-02-28 23:43:05.183,2019-02-28 23:57:39.796,874.613,5629,180,180,15,2019022823
17,2019-02-28 23:50:38.239,2019-02-28 23:57:35.852,417.613,4999,72,107,16,2019022823
18,2019-02-28 23:50:26.879,2019-02-28 23:57:21.130,414.251,6007,163,221,17,2019022823
19,2019-02-28 23:44:56.439,2019-02-28 23:57:20.212,743.773,5479,370,52,18,2019022823
20,2019-02-28 23:51:06.014,2019-02-28 23:57:13.312,367.298,1804,243,269,19,2019022823
21,2019-02-28 23:52:51.164,2019-02-28 23:57:03.976,252.812,5678,190,189,13,2019022823
22,2019-02-28 23:50:31.431,2019-02-28 23:56:31.891,360.46,6240,163,196,20,2019022823
23,2019-02-28 23:49:24.399,2019-02-28 23:55:50.284,385.885,6531,6,15,21,2019022823
24,2019-02-28 23:48:08.282,2019-02-28 23:54:56.930,408.648,5410,78,78,22,2019022823
