user_id,birth_year,age,gender,user_type
1,1974,45,Male,Subscriber
2,1959,60,Male,Subscriber
3,1983,36,Female,Subscriber
4,1989,30,Male,Subscriber
5,1988,31,Other,Subscriber
6,1992,27,Male,Subscriber
7,1996,23,Female,Subscriber
8,1993,26,Male,Subscriber
9,1990,29,Male,Customer
10,1987,32,Other,Subscriber
11,1988,31,Male,Subscriber
12,1981,38,Male,Subscriber
13,1975,44,Male,Subscriber
14,1990,29,Male,Subscriber
15,1978,41,Male,Customer
16,1983,36,Male,Subscriber
17,1984,35,Male,Subscriber
18,1991,28,Female,Subscriber
19,1997,22,Female,Subscriber
20,1986,33,Male,Subscriber
21,2000,19,Male,Customer
22,1982,37,Male,Subscriber
23,1987,32,Other,Customer
24,1995,24,Male,Subscriber
25,1996,23,Male,Subscriber
26,1993,26,Male,Customer
27,1980,39,Female,Subscriber
28,1973,46,Male,Subscriber
29,1985,34,Female,Subscriber
30,1984,35,Female,Subscriber
31,1992,27,Female,Subscriber
32,1992,27,Female,Customer
33,1971,48,Male,Subscriber
34,1972,47,Male,Subscriber
35,1980,39,Male,Subscriber
36,1979,40,Male,Subscriber
37,1974,45,Female,Subscriber
38,1984,35,Male,Customer
39,1990,29,Female,Subscriber
40,1997,22,Male,Subscriber
41,1967,52,Male,Subscriber
42,1982,37,Female,Subscriber
43,1980,39,Male,Customer
44,1998,21,Female,Subscriber
45,1993,26,Female,Subscriber
46,1994,25,Male,Subscriber
47,1982,37,Male,Customer
48,1977,42,Female,Subscriber
49,1999,20,Male,Subscriber
50,1987,32,Female,Subscriber
51,1994,25,Male,Customer
52,1991,28,Male,Subscriber
53,1998,21,Male,Subscriber
54,1992,27,Male,Customer
55,1969,50,Female,Subscriber
56,1988,31,Female,Customer
57,1984,35,Female,Customer
58,1963,56,Male,Subscriber
59,1987,32,Male,Subscriber
60,1976,43,Male,Subscriber
61,2000,19,Male,Subscriber
62,1993,26,Other,Subscriber
63,1991,28,Other,Subscriber
64,1985,34,Male,Subscriber
65,1987,32,Male,Customer
66,1976,43,Female,Subscriber
67,1964,55,Male,Subscriber
68,1998,21,Male,Customer
69,1985,34,Male,Customer
70,1978,41,Male,Subscriber
71,1999,20,Female,Subscriber
72,1981,38,Other,Subscriber
73,1965,54,Male,Subscriber
74,1994,25,Female,Subscriber
75,1961,58,Female,Subscriber
76,1988,31,Female,Subscriber
77,1968,51,Male,Subscriber
78,1997,22,Male,Customer
79,1989,30,Female,Subscriber
80,1971,48,Female,Subscriber
81,1977,42,Male,Subscriber
82,1985,34,Other,Subscriber
83,1986,33,Female,Customer
84,1995,24,Female,Subscriber
85,1981,38,Female,Customer
86,1986,33,Male,Customer
87,1969,50,Male,Subscriber
88,1961,58,Male,Subscriber
89,1966,53,Male,Subscriber
90,2000,19,Female,Subscriber
91,1981,38,Female,Subscriber
92,1991,28,Male,Customer
93,2000,19,Female,Customer
94,1986,33,Female,Subscriber
95,1967,52,Female,Subscriber
96,1962,57,Male,Subscriber
97,1987,32,Female,Customer
98,1954,65,Male,Subscriber
99,1997,22,Female,Customer
100,1958,61,Male,Subscriber
101,1989,30,Male,Customer
102,1983,36,Male,Customer
103,1979,40,Female,Subscriber
104,1960,59,Male,Subscriber
105,1970,49,Male,Subscriber
106,1996,23,Female,Customer
107,1972,47,Female,Subscriber
108,1983,36,Other,Subscriber
109,1967,52,Male,Customer
110,1988,31,Male,Customer
111,1956,63,Female,Subscriber
112,1975,44,Female,Customer
113,1968,51,Female,Subscriber
114,1982,37,Other,Subscriber
115,1984,35,Other,Subscriber
116,1980,39,Female,Customer
117,1973,46,Female,Subscriber
118,1968,51,Male,Customer
119,1968,51,Other,Subscriber
120,1963,56,Other,Subscriber
121,1995,24,Other,Subscriber
122,1976,43,Other,Subscriber
123,1995,24,Male,Customer
124,1999,20,Male,Customer
125,1998,21,Female,Customer
126,1957,62,Male,Subscriber
127,1945,74,Male,Subscriber
128,1995,24,Female,Customer
129,1990,29,Other,Subscriber
130,1975,44,Male,Customer
131,1986,33,Other,Subscriber
132,1969,50,Male,Customer
133,1996,23,Other,Subscriber
134,1959,60,Male,Customer
135,1956,63,Male,Subscriber
136,1989,30,Female,Customer
137,1978,41,Female,Subscriber
138,1970,49,Female,Subscriber
139,1954,65,Female,Subscriber
140,1979,40,Female,Customer
141,1952,67,Male,Subscriber
142,1975,44,Female,Subscriber
143,1962,57,Female,Subscriber
144,1948,71,Male,Subscriber
145,1964,55,Other,Subscriber
146,1980,39,Other,Subscriber
147,1963,56,Male,Customer
148,1960,59,Female,Subscriber
149,1974,45,Female,Customer
150,1977,42,Male,Customer
151,1962,57,Other,Subscriber
152,1963,56,Female,Subscriber
153,1970,49,Male,Customer
154,1983,36,Female,Customer
155,1983,36,Other,Customer
156,1964,55,Female,Subscriber
157,1964,55,Male,Customer
158,1951,68,Male,Subscriber
159,1978,41,Other,Subscriber
160,1979,40,Male,Customer
161,1981,38,Male,Customer
162,1993,26,Other,Customer
163,1966,53,Male,Customer
164,1994,25,Female,Customer
165,1984,35,Other,Customer
166,1973,46,Female,Customer
167,1991,28,Female,Customer
168,1997,22,Other,Subscriber
169,1965,54,Other,Subscriber
170,1976,43,Female,Customer
171,1966,53,Female,Subscriber
172,1965,54,Female,Subscriber
173,1974,45,Other,Customer
174,1950,69,Female,Customer
175,1951,68,Male,Customer
176,1974,45,Male,Customer
177,1972,47,Male,Customer
178,1986,33,Other,Customer
179,1956,63,Male,Customer
180,1990,29,Female,Customer
181,1978,41,Other,Customer
182,1962,57,Male,Customer
183,1949,70,Male,Customer
184,1959,60,Female,Subscriber
185,1996,23,Male,Customer
186,1969,50,Female,Customer
187,1953,66,Male,Subscriber
188,1975,44,Other,Customer
189,1966,53,Other,Subscriber
190,1971,48,Male,Customer
191,1978,41,Female,Customer
192,1985,34,Other,Customer
193,1976,43,Male,Customer
194,1974,45,Other,Subscriber
195,1958,61,Female,Subscriber
196,1955,64,Male,Customer
197,1955,64,Male,Subscriber
198,1967,52,Other,Subscriber
199,1959,60,Other,Subscriber
200,1993,26,Female,Customer
201,1963,56,Female,Customer
202,1985,34,Female,Customer
203,1946,73,Male,Subscriber
204,1989,30,Other,Customer
205,1950,69,Male,Subscriber
206,1970,49,Other,Subscriber
207,1953,66,Female,Subscriber
208,1958,61,Female,Customer
209,1970,49,Female,Customer
210,1982,37,Female,Customer
211,1973,46,Male,Customer
212,1957,62,Female,Subscriber
213,1971,48,Other,Subscriber
214,1994,25,Other,Subscriber
215,1947,72,Male,Subscriber
216,1947,72,Female,Subscriber
217,1980,39,Other,Customer
218,1998,21,Other,Subscriber
219,1972,47,Female,Customer
220,1965,54,Male,Customer
221,1949,70,Male,Subscriber
222,1992,27,Other,Subscriber
223,1950,69,Female,Subscriber
224,1961,58,Male,Customer
225,1952,67,Female,Customer
226,1981,38,Other,Customer
227,1955,64,Female,Subscriber
228,1989,30,Other,Subscriber
229,1999,20,Other,Subscriber
230,1971,48,Female,Customer
231,1960,59,Male,Customer
232,1999,20,Female,Customer
233,1988,31,Other,Customer
234,1967,52,Female,Customer
235,1992,27,Other,Customer
236,1968,51,Female,Customer
237,1957,62,Male,Customer
238,1954,65,Male,Customer
239,1995,24,Other,Customer
240,1945,74,Other,Subscriber
241,1979,40,Other,Subscriber
242,1957,62,Female,Customer
243,1958,61,Male,Customer
244,1960,59,Female,Customer
245,1977,42,Other,Subscriber
246,1962,57,Female,Customer
247,2001,18,Male,Customer
248,1975,44,Other,Subscriber
249,1966,53,Female,Customer
250,1982,37,Other,Customer
251,1967,52,Other,Customer
252,1973,46,Other,Subscriber
253,1952,67,Other,Customer
254,1964,55,Female,Customer
255,1990,29,Other,Customer
256,1961,58,Female,Customer
257,1944,75,Male,Customer
258,1952,67,Female,Subscriber
259,1996,23,Other,Customer
260,1965,54,Female,Customer
261,1994,25,Other,Customer
262,1977,42,Female,Customer
263,1955,64,Female,Customer
264,1956,63,Female,Customer
265,1951,68,Female,Customer
266,2001,18,Female,Subscriber
267,1951,68,Female,Subscriber
268,1960,59,Other,Customer
269,1973,46,Other,Customer
270,1970,49,Other,Customer
271,1991,28,Other,Customer
272,1961,58,Other,Subscriber
273,1953,66,Male,Customer
274,1950,69,Male,Customer
275,2000,19,Other,Customer
276,2001,18,Female,Customer
277,1976,43,Other,Customer
278,1945,74,Male,Customer
279,1969,50,Other,Subscriber
280,1953,66,Female,Customer
281,1960,59,Other,Subscriber
282,1979,40,Other,Customer
283,1972,47,Other,Customer
284,1999,20,Other,Customer
285,1969,50,Other,Customer
